idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
E664;E664;Face au180 Rue Yvonne Chanu;Villeurbanne;;interieur batiment;Z101.0.CS;Col Est;GPE;2019-06-01;2019-09-09;2020-06-12;2020-06-12;69266;1907;4,910400997059115;45,753001007401046
E208;E208;4 Rue Arthur Rimbaud;Lyon 9e Arrondissement;35276;;W101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-05-22;2009-07-08;2020-08-20;2020-08-20;69389;1099;4,793741536341987;45,787770612176814
9006;9006;2 Avenue Salvador Allende;Villeurbanne;21216;;Z101.0.CS;Col Est;COL GUERIN;2023-11-23;2023-12-05;2023-12-05;;69266;5038;4,86276685862245;45,776183897508446
E271;E271;8 Avenue de la Division Leclerc;Vénissieux;20227;;V101.0.CS;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;1105;4,866245383476618;45,69820658398663
E679;E679;118-127 Rue Léon Blum;Villeurbanne;;interieur batiment;Z101.0.CS;Col Est;GPE;2019-07-01;2019-09-09;2019-09-09;;69266;2008;4,9020587832634;45,7602096821183
4745;4745;73 Cours de la Liberté;Lyon 3e Arrondissement;;;Z101.0.CS;Col Est;GPE;2022-07-04;2022-09-05;2022-09-05;;69383;1146;4,842914875079206;45,75653522653807
4256;4256;13 Rue Beauséjour;Saint-Priest;;;V101.0.CS;Col Est;COL VEOLIA;2019-12-10;2020-02-04;2020-02-04;;69290;1148;4,945255497925366;45,70378314630775
E762;E762;4 Rue Pierre Sonnerat;Lyon 8e Arrondissement;28901;;Z101.0.CS;Col Sud;COL GUERIN;2017-05-22;2021-12-06;2021-12-06;;69388;1151;4,881522920791536;45,73857598893643
E153;E153;10 Rue Georges Charpak;Vénissieux;36068;;V101.0.CS;Col Sud;COL VEOLIA;2017-03-20;2017-06-22;2023-05-23;2023-05-23;69259;1155;4,872054045052264;45,69456699786457
7359;7359;Rue Saint Jean angle Epie de blé;Villeurbanne;;;Z101.0.CS;Col Est;GPE;2020-06-26;2020-07-08;2020-07-08;;69266;1168;4,902333219076672;45,77644746168036
9010;9010;217 Avenue Jean Jaurès;Lyon 7e Arrondissement;28485;;X101.0.CS;Col Sud;COL VEOLIA;2023-12-18;2023-12-18;2023-12-18;;69387;5041;4,835937759730061;45,73506287841697
E325;E325;108 Avenue Alexander Fleming;Caluire-et-Cuire;02761;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69034;1203;4,84905450919846;45,79394969777179
4701;4701;12 Rue Sully;Décines-Charpieu;;;V101.0.CS;Col Est;GPE;2021-10-20;2021-10-27;2021-10-27;;69275;1255;4,975307760320272;45,77175880371831
6536;6536;15 Allée de l'Arsenal;Saint-Fons;33877;;V101.0.CS;Col Sud;COL VEOLIA;2018-01-22;2012-04-06;2018-04-24;;69199;1225;4,855516543801231;45,71336365621006
E241;E241;2 Rue Président Edouard Herriot;Vénissieux;20503;;V101.0.CS;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;1234;4,876850008623042;45,69615455212499
E304;E304;27 Avenue de la Division Leclerc;Vénissieux;20227;;V101.0.CS;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;1241;4,870980410175793;45,69382367790594
E637;E637;5 Rue Père Louis De Galard;Lyon 9e Arrondissement;35636;;W101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-05-22;2016-12-16;2020-08-20;2020-08-20;69389;1243;4,7941107801793335;45,78567386961538
E272;E272;8 Avenue de la Division Leclerc;Vénissieux;20227;;V101.0.CS;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;1244;4,866210988469706;45,698176484674185
7357;7357;Face au 50 Rue du Canal;Villeurbanne;;;Z101.0.CS;Col Est;GPE;2020-06-25;2020-07-08;2020-10-07;2020-10-07;69266;1279;4,900524012987715;45,77562440378292
E678;E678;118-127 Rue Léon Blum;Villeurbanne;;interieur batiment;Z101.0.CS;Col Est;GPE;2019-07-01;2019-09-09;2019-09-09;;69266;2549;4,902015654554639;45,760206222483404
E230;E230;Face au 11 Quai Pasteur;Neuville-sur-Saône;;face au11;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2013-02-22;69143;3012;4,838440422937741;45,87569387836088
4003;4003;Rue Sully;Décines-Charpieu;;;V101.0.CS;Col Est;GPE;2020-09-04;2020-09-04;2021-03-05;;69275;1410;4,974201609081025;45,76918977434369
4147;4147;36 Rue Claude Farrère;Saint-Priest;;;V101.0.CS;Col Est;COL VEOLIA;2018-06-01;2018-07-20;2019-03-29;2019-03-29;69290;1433;4,955579812810768;45,68838044406195
E804;E804;105 Cours Rouget de Lisle;Rillieux-la-Pape;37215;;V101.0.CS;Col Nord-Ouest;COL GUERIN;2024-01-01;2024-01-19;2024-01-19;;69286;5047;4,9068714711118275;45,814788355968155
E642;E642;36 Avenue Rosa Parks;Lyon 9e Arrondissement;35641;;W101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-05-22;2017-02-07;2020-08-20;2020-08-20;69389;1454;4,790090652759515;45,786801899399194
E629;E629;2 Rue Alfred de Musset;Villeurbanne;;;Z101.0.CS;Col Est;GPE;2017-05-22;2016-10-10;2018-04-24;;69266;1455;4,913883782083928;45,7562959018129
E204;E204;1 Rue Renoir;Rillieux-la-Pape;25190;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2013-02-26;69286;1474;4,889548131310483;45,81162521414655
E682;E682;118-127 Rue Léon Blum;Villeurbanne;;interieur batiment;Z101.0.CS;Col Est;GPE;2019-07-01;2019-09-09;2019-09-09;;69266;3294;4,902028358050308;45,76015834319804
7901;7901;2 Rue Béchevelin;Lyon 7e Arrondissement;28571;;X101.0.CS;Col Sud;GPE;2024-01-16;2024-02-01;2024-02-01;;69387;5049;4,8422230865555305;45,75439614526399
4400;4400;Av Jean Moulin angle Rue Trousselle;Vaulx-en-Velin;;;Z101.0.CS;Col Est;GPE;2018-01-22;2017-07-31;2018-04-24;;69256;1502;4,916231897700973;45,788925118782615
4755;4755;22 Rue Commandant Fuzier;Lyon 3e Arrondissement;;;Z101.0.CS;Col Est;GPE;2022-07-04;2022-09-05;2022-09-05;;69383;1517;4,845943320343715;45,754594771653416
E398;E398;28 Avenue des Sources;Écully;06692;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69081;1512;4,78447115925792;45,79042165452275
E631;E631;2 Rue Alfred de Musset;Villeurbanne;;;Z101.0.CS;Col Est;GPE;2017-05-22;2016-10-10;2018-04-24;;69266;1535;4,913816658254349;45,756271256578735
6940;6940;6 Place Alexandre Dumas;Rillieux-la-Pape;25147;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2018-01-22;2012-04-06;2020-09-01;2013-02-25;69286;1574;4,89339872440346;45,813853643630914
2344;2344;Face au 21 Rue Henri Barbusse;Saint-Priest;;;V101.0.CS;Col Est;COL VEOLIA;2018-01-22;2016-05-20;2019-08-26;2019-08-26;69290;1593;4,9526927209787255;45,689093084352336
2337;2337;Face au 1 Rue Claude Farrère;Saint-Priest;;;V101.0.CS;Col Est;COL VEOLIA;2018-01-22;2016-05-12;2018-11-29;2018-11-29;69290;1604;4,949399833958672;45,68842387929859
4045;4045;Square des Couleurs Sand Mistral;Saint-Priest;;;V101.0.CS;Col Est;GPE;2021-02-15;2021-02-18;2021-02-18;;69290;1602;4,936518532643654;45,69372854585627
6968;6968;13 Rue Auguste Renoir;Vaulx-en-Velin;;;Z101.0.CS;Col Est;GPE;2021-06-10;2021-06-23;2021-06-23;2021-06-23;69256;1652;4,92923023520059;45,77803808848453
E386;E386;34 Avenue des Sources;Écully;06692;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69081;1658;4,783363423164198;45,7920185217207
4210;4210;Av des Plantées angle Rue de Champagne;Meyzieu;;;V101.0.CS;Col Est;COL VEOLIA;2019-01-11;2019-02-11;2019-02-11;;69282;1661;5,01116889833856;45,7641509272501
