idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
B0977;B0977;13 Rue des archers;Lyon 2e Arrondissement;;BCO-14;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4683;4,834283600132112;45,7594114002888
B0984;B0984;2 Rue de la Charité;Lyon 2e Arrondissement;;BCA-21;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4684;4,833140400159604;45,75615839988278
B1021;B1021;7 Cours Bayard;Lyon 2e Arrondissement;;PC-58;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4685;4,820257000358646;45,74463809985869
B1006;B1006;36 Rue Casimir Périer;Lyon 2e Arrondissement;;PC-43;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4686;4,823001599689482;45,74133369965836
B0980;B0980;15 Rue Duhamel;Lyon 2e Arrondissement;;BCA-17;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4687;4,830474799760657;45,7500656000262
B1012;B1012;17 Rue Delandine;Lyon 2e Arrondissement;;PC-49;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4688;4,826978699803078;45,74632420031912
B1014;B1014;20 Quai Perrache;Lyon 2e Arrondissement;;PC-51;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4689;4,826470300375856;45,74427319961275
B1017;B1017;21 Rue Bichat;Lyon 2e Arrondissement;;PC-54;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4690;4,8213179994072695;45,7465570002516
B1000;B1000;11 Cours de Verdun Gensoul;Lyon 2e Arrondissement;;BCA-37;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-13;2023-10-12;;;69382;4691;4,824910641070174;45,7506790157742
B1008;B1008;3 Rue Dugas-Montbel;Lyon 2e Arrondissement;;PC-45;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4692;4,822131299415849;45,74914850006698
B0981;B0981;"22 Rue d&apos;Enghien";Lyon 2e Arrondissement;;BCA-18;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4693;4,825883100416371;45,75147540004212
B1023;B1023;34 Cours Bayard;Lyon 2e Arrondissement;;PC-60;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4694;4,8247146002825545;45,74229719980448
B0967;B0967;Face au 45 Rue de la bourse;Lyon 2e Arrondissement;;BCO-4;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4696;4,836934499740355;45,764240800056456
B0964;B0964;20 Rue Gentil;Lyon 2e Arrondissement;;BCO-1;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4697;4,837547200123008;45,765012899996364
B1371;B1371;179 Rue Saint Exupéry;Bron;;P19;Z101.0.ALIM;Col Est;GPE;2024-01-23;2024-01-31;;;69029;5069;4,912008603402038;45,726785877763284
B0992;B0992;15 Rue de la Charité;Lyon 2e Arrondissement;;BCA-29;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-13;2023-10-12;;;69382;4698;4,83208199971811;45,7538250002955
B1028;B1028;97 Cours Charlemagne;Lyon 2e Arrondissement;;PC-65;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4699;4,820107700538395;45,74138530031714
B0974;B0974;Face au 1 Rue Childebert;Lyon 2e Arrondissement;;BCO-11;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4700;4,834206899353583;45,7603249996878
B1009;B1009;11 Rue Belier;Lyon 2e Arrondissement;;PC-46;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4701;4,827989578442005;45,7479400638726
B0988;B0988;2 Rue saint François de salle;Lyon 2e Arrondissement;;BCA-25;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-13;2023-10-12;;;69382;4702;4,829175948964203;45,75547409096067
B1016;B1016;49 Cours Charlemagne;Lyon 2e Arrondissement;;PC-53;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4703;4,822720999862523;45,74473399992834
B1022;B1022;24 Cours Bayard;Lyon 2e Arrondissement;;PC-59;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4704;4,823416000247062;45,74304499964122
B0985;B0985;5 Rue de la charité;Lyon 2e Arrondissement;;BCA-22;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4705;4,832778899763362;45,754674499699114
B1027;B1027;3 Quai Antoine Riboud;Lyon 2e Arrondissement;;PC-64;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4706;4,816357299800505;45,74297040006536
B0998;B0998;Face au 14 Rue Henri IV;Lyon 2e Arrondissement;;BCA-35;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-13;2023-10-12;;;69382;4707;4,827388599705307;45,75204280011109
B0982;B0982;25 Rue du Plat;Lyon 2e Arrondissement;;BCA-19;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4708;4,828416999494567;45,75684299969478
B1328;B1328;3 Rue François Gillet;Lyon 3e Arrondissement;27870;VPB36;Y101.0.ALIM;Col Est;GPE;2023-12-28;2024-01-09;2024-01-09;;69383;5070;4,872737189250945;45,75955602923048
B1388;B1388;240 Avenue Général de Gaulle;Bron;;RJFM25;Z101.0.ALIM;Col Est;GPE;2024-01-25;2024-01-31;;;69029;5071;4,9179025647141295;45,73043040833449
B0999;B0999;8 Quai du Maréchal Joffre;Lyon 2e Arrondissement;;BCA-36;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-13;2023-10-12;;;69382;4709;4,8243527412583544;45,752143860190095
B1003;B1003;2 Rue Claudius Collonge;Lyon 2e Arrondissement;;PC-40;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4710;4,822570800091321;45,75000249964097
B0995;B0995;Face au 16 Rue Franklin;Lyon 2e Arrondissement;;BCA-32;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-13;2023-10-12;;;69382;4711;4,8270923004045745;45,75293019986003
B1018;B1018;6 Rue Bichat;Lyon 2e Arrondissement;;PC-55;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4713;4,820183999983533;45,747043999806216
B1007;B1007;12 Rue Seguin;Lyon 2e Arrondissement;;PC-44;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4714;4,822846800006752;45,74613119996971
