idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
E261;E261;8 Avenue de la Division Leclerc;Vénissieux;20227;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;2784;4,8663151239072;45,69825667759786
E420;E420;7 Place Abbé Pierre;Lyon 9e Arrondissement;35339;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2014-11-14;2020-08-20;2020-08-20;69389;2848;4,795643202182103;45,78650367624186
E137;E137;4 Rue Maurice Béjart;Lyon 9e Arrondissement;35645;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2012-03-23;2020-08-20;2020-08-20;69389;2919;4,793208439208341;45,78913649430855
E145;E145;12 Rue Gaston Monmousseau;Vénissieux;20432;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;2948;4,877866695149012;45,69632711657436
E152;E152;10 Rue Georges Charpak;Vénissieux;36068;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-06-22;2023-05-23;2023-05-23;69259;2949;4,872077447919988;45,69455163753126
E330;E330;114 Avenue Alexander Fleming;Caluire-et-Cuire;02761;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69034;2959;4,847891645683969;45,79346403920507
E339;E339;109 Avenue Alexander Fleming;Caluire-et-Cuire;02761;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69034;2962;4,848131978828308;45,793982827216645
E164;E164;2 Allée Jean Moulin;Givors;35170;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-06-22;2018-04-24;;69091;2975;4,7646680940999415;45,606444633384626
E255;E255;4 Avenue de la Division Leclerc;Vénissieux;20227;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2012-11-19;69259;2982;4,8662563548469056;45,6990466057631
E652;E652;3 Rue Françoise Giroud;Lyon 9e Arrondissement;35646;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-08-30;2017-07-21;2020-08-20;2020-08-20;69389;2996;4,794031420811697;45,78493108365738
E329;E329;114 Avenue Alexander Fleming;Caluire-et-Cuire;02761;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69034;2998;4,84790852771135;45,79350369276413
E603;E603;Place du Marché;Rillieux-la-Pape;25159;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69286;3034;4,897220064045307;45,813357548270645
E144;E144;4 Rue Président Edouard Herriot;Vénissieux;20503;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;3042;4,876822910250263;45,69599872274393
E701;E701;5 Rue Claude Farrère;Saint-Priest;;;V101.0.OM;Col Est;COL GUERIN;2019-09-30;2019-11-07;2019-11-07;;69290;3109;4,950014896844251;45,68899038567503
E292;E292;8 Avenue Rosa Parks;Lyon 9e Arrondissement;35641;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2013-03-14;2020-08-20;2020-08-20;69389;3118;4,794402258735337;45,78652210909916
1056;1056;Rue Hélène Berthaud;Lyon 9e Arrondissement;36984;;W101.0.OM;Col Nord-Ouest;COL GUERIN;2022-05-16;2022-05-16;2022-05-16;;69389;3135;4,793211556915324;45,78432203707196
E605;E605;4 Rue Père Louis De Galard;Lyon 9e Arrondissement;35636;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2015-10-06;2020-08-20;2020-08-20;69389;3143;4,794336642742365;45,78572813567635
E733;E733;110-114 Avenue Pierre Brossolette;Bron;;;Z101.0.OM;Col Est;GPE;2019-12-29;2020-05-22;2020-05-22;;69029;3220;4,921192887919974;45,73933362436573
E309;E309;1 Rue Pierre Dupont;Vénissieux;20508;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;3201;4,8708464842272186;45,69611184661955
E281;E281;Rue des Aqueducs;Lyon 5e Arrondissement;;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2012-12-06;2018-04-24;2012-12-06;69385;3279;4,7965706860351744;45,757191180197346
E466;E466;14 Rue Jacquard;Oullins;11689;;V101.0.OM;Col Sud;COL VEOLIA;2019-07-15;2019-07-15;2019-07-15;;69149;3292;4,813487298738464;45,70972408923738
E180;E180;3A Rue Roger Salengro;Vénissieux;20517;;V101.0.OM;Col Sud;COL VEOLIA;2018-01-29;2018-02-05;2018-04-24;;69259;3317;4,8657793787192665;45,724344119260444
E738;E738;106-123 Avenue Pierre Brossolette;Bron;;;Z101.0.OM;Col Est;GPE;2019-12-29;2020-05-22;2020-05-22;2020-05-22;69029;3328;4,920064019535816;45,739965981987254
E531;E531;26 Rue Paul Verlaine;Vénissieux;20502;;V101.0.OM;Col Sud;COL GUERIN;2021-02-15;2021-03-01;2021-03-02;2021-03-02;69259;3336;4,85680695705541;45,72465858274318
E520;E520;1 Square Koenig;Rillieux-la-Pape;25247;;V101.0.OM;Col Nord-Ouest;COL GUERIN;2020-11-01;2021-01-14;2021-01-14;;69286;3350;4,9047567324195604;45,815411274359384
E178;E178;3A Rue Roger Salengro;Vénissieux;20517;;V101.0.OM;Col Sud;COL VEOLIA;2018-01-29;2018-02-05;2018-04-24;;69259;3359;4,865728482628459;45,724336270059325
E793;E793;Cours Rouget de Lisle;Rillieux-la-Pape;37215;;V101.0.OM;Col Nord-Ouest;COL GUERIN;2023-04-12;2023-04-25;2023-04-25;;69286;3367;4,907477393074904;45,815724073049594
E128;E128;8 Rue Pierre Dugelay/face ch de parenty;Neuville-sur-Saône;;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2013-02-22;69143;3392;4,841940232100627;45,875600323487845
